,id,name,company_id,amount,status,created_at,paid_at
0,48ba4bdbfb56ceebb32f2bd0,MiPasajefy,cbf1c8b09cd5b549416d49d2,3.0,voided,2019-03-19,
1,05fc6f5ac66b6ee7e4253aa5,MiPasajefy,cbf1c8b09cd5b549416d49d2,3.0,pending_payment,2019-05-06,
2,2cdce231c1fc6a2061bfa2f1,MiPasajefy,cbf1c8b09cd5b549416d49d2,3.0,voided,2019-02-22,
3,81633ba310a50b673efd469c,MiPasajefy,cbf1c8b09cd5b549416d49d2,102.61,paid,2019-02-27,2019-02-27
4,6ccfc4c24e788e4bca448df3,MiPasajefy,cbf1c8b09cd5b549416d49d2,184.49,paid,2019-02-05,2019-02-05
5,b25f2ff15c24ea881e676be7,MiPasajefy,cbf1c8b09cd5b549416d49d2,85.27,pending_payment,2019-01-04,
6,4f9db76960dcdf6b7e2d7d71,MiPasajefy,cbf1c8b09cd5b549416d49d2,41.0,pre_authorized,2019-05-04,
7,7e96211c7d133a6227e809ab,MiPasajefy,cbf1c8b09cd5b549416d49d2,3.0,pending_payment,2019-01-23,
8,6ee515d5f0a1995731fb3105,MiPasajefy,cbf1c8b09cd5b549416d49d2,41.61,voided,2019-05-03,
9,cdf1a7a6f5c9b0db543371f9,MiPasajefy,cbf1c8b09cd5b549416d49d2,115.84,paid,2019-01-22,2019-01-22
10,5083f2fc28d4c63bcef7184c,MiPasajefy,cbf1c8b09cd5b549416d49d2,3.0,voided,2019-03-02,
11,90820e39fa6aa60555edb685,MiPasajefy,cbf1c8b09cd5b549416d49d2,81.33,paid,2019-01-12,2019-01-12
12,315fb708b31d2b98da63db63,MiPasajefy,cbf1c8b09cd5b549416d49d2,230.27,paid,2019-03-29,2019-03-29
13,796fc616b760b45ebe0dc5cf,MiPasajefy,cbf1c8b09cd5b549416d49d2,117.88,paid,2019-05-18,2019-05-18
14,221b7af73b7901a32c526553,MiPasajefy,cbf1c8b09cd5b549416d49d2,73.76,voided,2019-01-10,
15,8ff04de2a96c9c05df0d9bd8,MiPasajefy,cbf1c8b09cd5b549416d49d2,364.46,pending_payment,2019-01-11,
16,78bc9783831c398cbc03b896,MiPasajefy,cbf1c8b09cd5b549416d49d2,3.0,pending_payment,2019-02-16,
17,32149975c2b32f5fa50b93a2,MiPasajefy,cbf1c8b09cd5b549416d49d2,64.36,paid,2019-04-16,2019-04-16
18,798166c4cd9d464ab5e83b41,MiPasajefy,cbf1c8b09cd5b549416d49d2,166.65,pending_payment,2019-05-10,
19,1a261c012b286d9abcc91c83,MiPasajefy,cbf1c8b09cd5b549416d49d2,42.2,voided,2019-01-03,
20,9778228bbb5ef7e2f5f7dac8,MiPasajefy,cbf1c8b09cd5b549416d49d2,41.82,paid,2019-03-04,2019-03-04
21,0dca80440f819c7f3077d534,MiPasajefy,cbf1c8b09cd5b549416d49d2,163.49,paid,2019-04-03,2019-04-03
22,6a528f598c344398ce78afb9,MiPasajefy,cbf1c8b09cd5b549416d49d2,188.7,paid,2019-05-10,2019-05-10
23,ab2beca2b1bb360e8e21c6c7,MiPasajefy,cbf1c8b09cd5b549416d49d2,59.75,voided,2019-01-15,
